pl_name,hostname,pl_letter,tic_id,pl_trandep,st_teff,st_logg,ra,dec,sy_dist,sy_tmag,Ratio,AB_Mag,Data_Size,Weight
5561.01,5561,PC,330637910,,3449,4.74578,136.200047,13.795446,272.64,15.1792,5.18E-05,27.64195854,1.027283758,0.5
5563.01,5563,PC,239198720,,5776,4.51349,146.810895,24.541806,185.26,10.7986,0.024792143,16.56226935,1.032647034,0.5
5564.01,5564,PC,127505658,,5722,4.55,80.947217,35.417549,251.487,11.6871,0.021029307,17.62949215,1.033087632,0.5
5565.01,5565,PC,117892246,,5542.4,4.16,131.227011,45.466192,676.655,12.932,0.014042373,19.31285324,1.002271561,0.5
5566.01,5566,PC,73250068,,5830,4.22,123.355106,62.287571,748.345,13.1133,0.024003068,18.91208764,1.011415962,0.5
5567.01,5567,PC,456335739,,5260.6,4.58,135.139415,49.451496,431.019,13.2573,0.00937301,20.0770568,1.000032976,0.5
5568.01,5568,PC,142785421,,5496,4.38,154.302943,75.333344,574.817,13.2187,0.014233297,19.58489075,1.010316392,0.5
5569.01,5569,PC,267484403,,6312,4.26,298.837092,58.522878,974.173,13.3273,0.051551091,18.29615989,1.030397903,0.5
557.01,557,PC,55488511,,3883,4.71022,59.017813,-10.272008,75.9623,11.6434,0.000128912,23.11712024,1.025546153,0.5
5570.01,5570,PC,302381442,,5120,4.48,100.172692,76.732244,454.675,13.4113,0.00562451,20.78554285,1.020706732,0.5
5571.01,5571,PC,88565745,,6250.4,4.44,106.990414,60.01161,303.081,11.2245,0.051551091,16.19335989,1.046078288,0.5
5572.01,5572,PC,9151337,,4571,4.58,105.078049,37.198901,78.0645,10.4309,0.000942581,19.7445581,1.014609928,0.5
5573.01,5573,PC,459762279,,3695,4.66,136.426,55.307131,186.562,13.6281,9.31E-05,25.45565382,1.006601409,0.5
5574.01,5574,PC,268405086,,3999,4.35,278.550256,86.557356,117.383,11.6643,0.000148353,22.98551552,1.055294398,0.5
5575.01,5575,PC,160162137,,3176,5,241.248539,85.204724,56.6893,14.0127,2.58E-05,27.23237025,1.054761648,0.5
5577.01,5577,PC,98833877,,6813.5,4.16,105.308337,41.129691,508.394,11.1947,0.08297209,15.64682447,1.012698287,0.5
5578.01,5578,PC,154563411,,4340,4.59,189.265651,75.92044,158.202,12.3681,0.000272412,23.02948934,1.014868035,0.5
5579.01,5579,PC,252928337,,3595,4.8,105.821673,52.51673,115.906,13.5426,9.35E-05,25.36523628,1.015130403,0.5
5580.01,5580,PC,366298702,,5647,4.22,112.262575,42.03191,486.081,12.2989,0.017173069,18.46123477,1.00834249,0.5
5581.01,5581,PC,456306892,,4947,4.55,118.065411,70.165569,191.145,11.8294,0.00311309,19.84587546,1.038359518,0.5
5582.01,5582,PC,392064198,,6297.2,3.97,110.639665,30.418354,533.617,11.2713,0.049699004,16.27988531,1.016799787,0.5
5584.01,5584,PC,29169215,,4092.4,4.5,135.324512,47.452351,69.0641,10.7314,0.000174145,21.87857675,1.021766866,0.5
5585.01,5585,PC,188389305,,6457.2,4.44,129.483355,37.735315,771.853,13.0348,0.066237127,17.73150083,1.000020173,0.5
5586.01,5586,PC,160165689,,5607,4.45,244.023057,86.368644,540.141,13.4794,0.017350203,19.63059314,1.023305733,0.5
